GENE_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000003987	133.943819390786	-3.45050224423649	0.725589962954109	-4.75544373600261	1.98011003493522e-06	0.000349528246853026
ENSG00000005001	55.192139883336	-3.4528426400592	0.860254896593228	-4.01374366334108	5.97632477627903e-05	0.00400013857237561
ENSG00000006432	163.140432151771	-2.29779791304883	0.36695034475596	-6.26187697023962	3.80370994123196e-10	4.86375528455412e-07
ENSG00000009724	93.9438916164804	-2.33804658722805	0.510424919885218	-4.58058863535468	4.63669056016677e-06	0.000635034437878341
ENSG00000011021	388.943759961672	-1.50146365836951	0.346190781165036	-4.33709890632164	1.44375667787211e-05	0.00146038421264535
ENSG00000050730	164.487165632506	-3.4559821521357	0.857487592222375	-4.03035820399305	5.56919171515518e-05	0.00385331309941836
ENSG00000058600	367.959271821329	-1.06590192300697	0.277669383662393	-3.83874487330211	0.000123664843859667	0.00700184123802928
ENSG00000064270	386.680777795145	-4.00684035210463	0.908485067741525	-4.41046363267758	1.03149529236282e-05	0.00116805488924481
ENSG00000065526	1628.07924962675	-1.14696803925645	0.295740902729072	-3.87828679993984	0.000105194659175469	0.0062826019422918
ENSG00000067606	409.061068882528	-1.83915794845538	0.428908752415494	-4.28799351399978	1.80294356621639e-05	0.00170852625840663
ENSG00000072310	712.438467585614	-1.49196661476451	0.28672821526648	-5.20341750593992	1.95656626298568e-07	5.77726015737118e-05
ENSG00000075234	171.891237517673	-1.57583399542918	0.338561795524193	-4.65449444167003	3.24776597793964e-06	0.00048730022027336
ENSG00000081041	370.352383235974	-2.5495297846576	0.605437214300604	-4.21105562135422	2.54180148104449e-05	0.00218971940986632
ENSG00000086015	521.659641522797	-2.01929804954295	0.381954550193573	-5.28674955834294	1.24508916096564e-07	4.22977931003516e-05
ENSG00000095713	67.7304272835168	-3.95295379840578	0.69145192424688	-5.71688885342432	1.08492028168012e-08	5.42610824212514e-06
ENSG00000103472	83.9472404460603	-1.49462236464587	0.403314371280837	-3.70584950865818	0.000210683375235802	0.00973569481366529
ENSG00000106258	536.091771552803	-1.93432019348181	0.476344106844114	-4.06076230542058	4.89127494935829e-05	0.00348092511712238
ENSG00000108342	574.270100058097	-5.38818485853103	1.15190209581461	-4.67764133610727	2.90193549530707e-06	0.000450398626932385
ENSG00000111291	65.4544925426015	-5.0528037190702	1.19514243452088	-4.22778371273867	2.36004490733295e-05	0.00207281017348925
ENSG00000114529	162.228683301594	-2.31102557757954	0.608997420694159	-3.79480355589247	0.000147760401033097	0.00771137976985773
ENSG00000114841	393.947108060134	-2.34157738651676	0.573843665439829	-4.08051448075502	4.4936129606094e-05	0.00330234699411315
ENSG00000115009	569.509819736451	-5.29980340651479	1.17737388543025	-4.5013767267125	6.7514718239369e-06	0.000832604453356055
ENSG00000121716	307.19850167301	-1.72178418343931	0.382783866625361	-4.49805839158959	6.85768648685982e-06	0.000839949967319122
ENSG00000124145	2741.93099012573	-2.68628076963106	0.523119255301837	-5.13512118394703	2.81962278981265e-07	7.25247261865382e-05
ENSG00000125733	590.494774323468	-1.13304186705338	0.297743613274606	-3.80542794719289	0.000141559220378712	0.00756312689293384
ENSG00000125740	351.539301970189	-2.59780041227386	0.459740166780878	-5.6505839602047	1.59903679993012e-08	7.78125880614642e-06
ENSG00000126003	289.304639054018	-1.62490744071756	0.383705454404085	-4.2347780623581	2.28777540498113e-05	0.00203917802805373
ENSG00000128342	649.324362970636	-5.18425225298002	0.883972828082565	-5.86471901429961	4.49893904246104e-09	2.7932206020521e-06
ENSG00000132199	556.132106946553	-1.6674019156348	0.341319420430189	-4.88516567130359	1.03341922121958e-06	0.000209064191888297
ENSG00000132334	718.492115624882	-1.71519076142091	0.432779435998334	-3.96319838410139	7.3952278389929e-05	0.0047216694057116
ENSG00000133316	223.540688244931	-2.23381678858017	0.554343702604263	-4.02966025966539	5.58575239626877e-05	0.00385331309941836
ENSG00000135063	201.831508885746	-2.41646685801527	0.581557988800186	-4.15516062809264	3.25059097500287e-05	0.0026011951335523
ENSG00000135373	556.826127918886	-2.62959519439643	0.688232399623257	-3.82079541131148	0.0001330219667402	0.00727981918284894
ENSG00000135976	836.846899623988	-1.93690449855999	0.5118385610164	-3.78420979989027	0.000154197710965884	0.00796043377755234
ENSG00000136237	1699.08025015998	-1.33779095831808	0.357588482649068	-3.74114666224014	0.000183182579429183	0.00889003326852407
ENSG00000139304	88.4124260040402	-2.56691724623782	0.605945990619769	-4.2362145900369	2.27319541744538e-05	0.00203917802805373
ENSG00000139514	432.693197240915	-1.86642367006366	0.481525208707793	-3.87606637474357	0.000106158736641829	0.0063082113968189
ENSG00000139718	509.766231899921	-1.09327820829408	0.251798493388514	-4.34187748140019	1.41270308274712e-05	0.00143704627146112
ENSG00000141458	821.30387984565	-1.2036398354464	0.319691007223665	-3.76500998854905	0.000166542424540135	0.00837596746884117
ENSG00000144134	224.487605671087	-1.54779901579373	0.407844247189543	-3.79507379706745	0.000147599546732668	0.00771137976985773
ENSG00000144802	1254.1742077453	-1.48309606561662	0.365806027693776	-4.05432374902842	5.02795427122462e-05	0.00354784838097877
ENSG00000149577	455.285984536517	-1.40642118112125	0.302806217672755	-4.64462451243712	3.40695525426007e-06	0.000502805158630758
ENSG00000157423	438.447862725325	-2.59648752825373	0.542998903777992	-4.78175464110203	1.73771699224334e-06	0.000309778162825162
ENSG00000158169	412.506003357084	-1.50944788478766	0.400364532111832	-3.77018382928594	0.000163127345249739	0.00826648399002071
ENSG00000158859	1617.87203145057	-2.69535181443644	0.696374972826305	-3.87054664457152	0.000108591575963604	0.00638332277883738
ENSG00000159399	632.355575906026	-2.37398389262284	0.575187818721197	-4.12731948653028	3.67016327667646e-05	0.00285459692892311
ENSG00000160145	855.352126668682	-1.06365565839304	0.27706411003717	-3.83902360450203	0.00012352455609889	0.00700184123802928
ENSG00000162105	257.159664965838	-2.24668537084389	0.569780129985284	-3.94307427130166	8.04437292400045e-05	0.00506429840897301
ENSG00000162711	219.734053056427	-4.39524887990104	0.822576815811526	-5.34326861080426	9.12853353798463e-08	3.28718492702827e-05
ENSG00000163874	474.867372588357	-3.28549818248273	0.739179126825401	-4.44479296458649	8.79765479495045e-06	0.0010285829518382
ENSG00000164674	220.424870040028	-2.51990993637388	0.62591480397834	-4.02596315082696	5.67425751021669e-05	0.00386218297240613
