baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000003987	133.94383562645	-3.45050337049932	0.725597049829521	-4.75539884197437	1.98055013766388e-06	0.000378304304935915
ENSG00000005001	55.192143875993	-3.45284439315439	0.860264199416498	-4.01370229691808	5.97737275393705e-05	0.00432348645444697
ENSG00000006432	163.140518713986	-2.29779640160987	0.36692500285202	-6.26230533147005	3.79327271734761e-10	5.31349918920216e-07
ENSG00000008226	332.03808386845	-3.3190094491606	0.970852997234743	-3.41865293573184	0.00062931940739944	0.0206081068845465
ENSG00000009724	93.9439165637101	-2.33804720620412	0.510410470353188	-4.58071952283085	4.63378941356724e-06	0.000688476637746438
ENSG00000039139	894.825704697861	-3.14757376600511	0.898892750345807	-3.50161213870534	0.000462452311606073	0.0174097671069508
ENSG00000050730	164.487216606933	-3.45598370422184	0.857502640589251	-4.03028928499508	5.57082493914015e-05	0.0041620355215083
ENSG00000056558	138.205767814228	-2.08089875777654	0.605164306741883	-3.43856822782527	0.000584799151245581	0.0199966331150139
ENSG00000064270	386.681064233473	-4.00684197784914	0.908511596725941	-4.41033663443465	1.03210045225449e-05	0.00126909651860343
ENSG00000065675	71.4135393357536	-3.02729339202778	0.943395165676942	-3.20893460361918	0.00133227790954512	0.0325666583305204
ENSG00000081041	370.352582727541	-2.54953185842852	0.605438257452539	-4.21105179107116	2.5418445837669e-05	0.00235887973306745
ENSG00000086015	521.659767846982	-2.01929858811189	0.381939307828011	-5.28696195108881	1.24364494827829e-07	4.61650390800511e-05
ENSG00000095713	67.7304390237451	-3.95295502630313	0.691444838190426	-5.71694921701689	1.08453510816561e-08	5.92698436612504e-06
ENSG00000103021	302.39561852343	-2.35925775549236	0.70170065721871	-3.36219972323186	0.000773241738638846	0.0233339805300709
ENSG00000103534	680.877949151342	-2.1012868288463	0.621913420399461	-3.37874495053768	0.000728175296974695	0.0226679126466458
ENSG00000108342	574.270102506047	-5.38818611471144	1.15194344710654	-4.67747451339345	2.90429658095958e-06	0.000488201561766982
ENSG00000111291	65.454497789251	-5.05281268966015	1.19519691561869	-4.22759850166161	2.36198782139572e-05	0.00223412251914132
ENSG00000114529	162.228731969744	-2.31102695073147	0.608995216760186	-3.79481954394648	0.000147750879952069	0.00825809889823011
ENSG00000114841	393.947414748653	-2.3415794300083	0.573842929011933	-4.08052327845204	4.49344287414297e-05	0.00356467722201164
ENSG00000115008	40.0398048377412	-4.10378724625851	1.3098917625509	-3.13292087452076	0.00173076093117541	0.0387846235454687
ENSG00000115009	569.510605056348	-5.29980632639835	1.1774171789082	-4.50121369157598	6.75665335407827e-06	0.000904288422368272
ENSG00000118503	2112.99407303862	-2.34910965927934	0.72742661432504	-3.22934246976791	0.00124075215918102	0.031129858714812
ENSG00000118997	393.284731560091	-2.65315227376263	0.845855769757192	-3.13664855005272	0.00170890841004661	0.0385430296911357
ENSG00000119457	36.3104460921131	-2.76561516552939	0.859451735918146	-3.2178830409539	0.00129140465894106	0.0319953208047556
ENSG00000124145	2741.93190501293	-2.6862818177923	0.523117651528996	-5.1351389308709	2.81935672600904e-07	7.9240034610717e-05
ENSG00000125740	351.539451313498	-2.59780242145687	0.45972946234435	-5.65071989993768	1.59777263449868e-08	8.49583211111541e-06
ENSG00000128342	649.324885930694	-5.18425377967271	0.883993088640145	-5.86458632572308	4.50253801576899e-09	3.05458389387031e-06
ENSG00000133316	223.540631031383	-2.23381676153672	0.554338882801899	-4.02969524750984	5.58492110235941e-05	0.0041620355215083
ENSG00000135063	201.831595911241	-2.41646761712705	0.581555380775069	-4.15518056750933	3.2503075035919e-05	0.00280467323796785
ENSG00000135373	556.826420699818	-2.62959737634505	0.688240237966592	-3.82075506673978	0.000133043730780253	0.0078134398787185
ENSG00000135519	33.7355564469218	-3.47678803588644	0.814155584080083	-4.27042214519093	1.95103320954394e-05	0.00196844242895218
ENSG00000138079	31.7610052598205	-2.19142979236775	0.695260547758189	-3.15195475916739	0.00162181399199938	0.0374669488001099
ENSG00000138771	753.656269630481	-2.04612068802312	0.659228690127061	-3.1038101324576	0.00191045889916404	0.0408992038978818
ENSG00000139304	88.4124265564906	-2.56691783683766	0.60593878781307	-4.23626592069156	2.27267607862976e-05	0.0021936735356614
ENSG00000140279	188.582876460083	-3.18380304406863	0.968803644890897	-3.28632438663789	0.00101504043869719	0.0275827425289067
ENSG00000140287	32.7647026655514	-4.34702479692502	1.13051756892385	-3.84516341578219	0.000120472125236718	0.00741995170637229
ENSG00000151012	293.789918879195	-2.31379746553782	0.732647043209394	-3.1581339022432	0.001587826063808	0.0369935600758594
ENSG00000151320	252.454010656255	-2.05026435699477	0.67456988480208	-3.03936538405701	0.00237077127385626	0.0461190633772137
ENSG00000153093	157.191138411357	-2.89917652849757	0.846706369430909	-3.42406368154071	0.000616921625366469	0.0205022230700336
ENSG00000157423	438.448239900175	-2.59649059117936	0.542995325726773	-4.78179179112468	1.73739581085303e-06	0.000335112991987476
ENSG00000158859	1617.87374145821	-2.69535554679709	0.696384170695396	-3.87050088187036	0.00010861196416154	0.00685936492350145
ENSG00000159399	632.356225150941	-2.37398699612937	0.575188172317634	-4.12732234490106	3.67011767260737e-05	0.00307615772440788
